file                                                                  , best_acc, best_epoch, source_train_loss, source_train_acc, source_val_loss, source_val_acc, target_val_loss, target_val_acc, model_name        , data_name, data_dir                                          , transfer_task  , task_type  , normlizetype, metric_type, threshold, cuda_device, checkpoint_dir               , pretrained, batch_size, num_workers, bottleneck, bottleneck_num, last_batch, distance_metric, distance_loss, trade_off_distance, lam_distance, domain_adversarial, adversarial_loss, hidden_size, trade_off_adversarial, lam_adversarial, opt , lr   , momentum, weight_decay, lr_scheduler, gamma, steps    , middle_epoch, max_epoch, print_step
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171146/train.log,   0.7266,        196,            0.6848,           0.9229,          0.0059,         0.9258,          0.1375,         0.6953, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171216/train.log,   0.7812,        198,            0.68  ,           0.9971,          0.0015,         1.0   ,          0.1741,         0.75  , resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171245/train.log,   0.7344,         79,            0.6685,           0.9941,          0.0001,         1.0   ,          0.6427,         0.707 , resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171315/train.log,   0.7969,        187,            0.6945,           0.7969,          0.0281,         0.7812,          0.6426,         0.7891, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171344/train.log,   0.7812,        144,            0.6829,           0.998 ,          0.0002,         1.0   ,          0.9229,         0.7578, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , stepLR      ,  0.1 , 200      ,           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171414/train.log,   0.7969,        182,            0.6891,           0.9707,          0.0014,         0.9961,          0.438 ,         0.7891, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171444/train.log,   0.7969,        189,            0.6942,           0.9893,          0.0007,         0.9922,          0.4007,         0.7695, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171516/train.log,   0.7812,        173,            0.6952,           0.9795,          0.0312,         0.9648,          1.4556,         0.6836, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171546/train.log,   0.7187,         87,            0.6948,           0.9463,          0.0079,         0.9375,          1.5083,         0.375 , resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171617/train.log,   0.7891,        193,            0.6923,           0.998 ,          0.0015,         0.9961,          0.9835,         0.7656, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , JMMD         , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , stepLR      ,  0.1 , 200      ,           50,       300,          5
