model_name,data_name,Input type,is_apply_multi_label,transfer_task,source_train-Loss,source_train-Acc,source_val-Loss,source_val-Acc,target_val-Loss,target_val-Acc
resnet_features_1d,PHM,TimeSeries,0,"[[3], [1]]",0.6923,1,2.9942,0.5705,3.9300 ,0.4872
resnet_features_1d,PHM,TimeSeries,0,"[[3], [2]]",0.6939,1,3.1296,0.6122,3.4840 ,0.5641
resnet_features_1d,PHM,TimeSeries,0,"[[0, 1], [2]]",0.6942,1,2.6618,0.6154,3.2967,0.5481
resnet_features_1d,PHM,TimeSeries,0,"[[0, 1], [3]]",0.6932,1,2.7527,0.6394,5.1156,0.5032
resnet_features_1d,PHM,TimeSeries,0,"[[0, 2], [1]]",0.6919,1,2.7080 ,0.6603,4.0218,0.5481
resnet_features_1d,PHM,TimeSeries,0,"[[0, 2], [3]]",0.6935,0.9996,2.6681,0.6234,3.9544,0.5321
resnet_features_1d,PHM,TimeSeries,0,"[[0, 3], [1]]",0.6932,1,3.0522,0.6378,4.4481,0.5000 
resnet_features_1d,PHM,TimeSeries,0,"[[0, 3], [2]]",0.6934,1,2.9752,0.6154,3.1316,0.5994
resnet_features_1d,PHM,TimeSeries,0,"[[1, 2], [0]]",0.6942,1,2.5710 ,0.6314,6.2815,0.4135
resnet_features_1d,PHM,TimeSeries,0,"[[1, 2], [3]]",0.6934,1,2.5733,0.6490 ,4.4152,0.5609
resnet_features_1d,PHM,TimeSeries,0,"[[2, 3], [0]]",0.6954,1,2.8375,0.6346,0.3248,0.4231
resnet_features_1d,PHM,TimeSeries,0,"[[2, 3], [1]]",0.6922,1,2.5841,0.6410 ,3.8153,0.5513
resnet_features_1d,PHM,TimeSeries,0,"[[0, 1, 2], [3]]",0.6924,1,2.5985,0.6560 ,4.5061,0.5641
resnet_features_1d,PHM,TimeSeries,0,"[[0, 2, 3], [1]]",0.6934,1,2.4212,0.7041,3.3646,0.6168
resnet_features_1d,PHM,TimeSeries,0,"[[1, 2, 3], [0]]",0.6945,1,2.6552,0.6603,6.1171,0.4968
resnet_features_1d,PHM,TimeSeries,0,"[[0, 1, 3], [2]]",0.6934,1,2.6622,0.6613,2.7525,0.6667
resnet_features_1d,PHM,TimeSeries,0,"[[0, 1], [2, 3]]",0.6959,1,2.2709,0.6474,4.1441,0.5513
resnet_features_1d,PHM,TimeSeries,0,"[[0, 2], [1, 3]]",0.6939,1,2.9805,0.6330 ,4.6321,0.5208
resnet_features_1d,PHM,TimeSeries,0,"[[0, 3], [1, 2]]",0.6940 ,0.9992,3.3807,0.6106,3.6814,0.5865
resnet_features_1d,PHM,TimeSeries,0,"[[1, 2], [0, 3]]",0.6927,1,2.9944,0.6218,5.1294,0.5272
resnet_features_1d,PHM,TimeSeries,0,"[[1, 3], [0, 2]]",0.6945,1,3.7756,0.5881,5.6143,0.5160 
resnet_features_1d,PHM,TimeSeries,0,"[[2, 3], [0, 1]]",0.6949,1,3.1562,0.6715,6.9618,0.4856
resnet_features_1d,PHM,TimeSeries,0,"[[2, 3], [0, 1]]",0.6945,1,2.7768,0.6426,5.2786,0.4824
resnet_features_1d,PHM,TimeSeries,0,"[[1, 3], [0, 2]]",0.6937,0.9996,3.2718 ,0.6330 ,5.0229,0.5497
resnet_features_1d,PHM,TimeSeries,0,"[[1, 2], [0, 3]]",0.6947,1,3.0997,0.6314,5.5196,0.5160 
resnet_features_1d,PHM,TimeSeries,0,"[[0, 3], [1, 2]]",0.6925,1,3.1240 ,0.5962,3.7682,0.5689
resnet_features_1d,PHM,TimeSeries,0,"[[0, 2], [1, 3]]",0.6945,1,3.1100 ,0.6170 ,4.3702,0.5465
resnet_features_1d,PHM,TimeSeries,0,"[[0, 1], [2, 3]]",0.6861,1,2.0630 ,0.6731,6.3310 ,0.3638
resnet_features_1d,PHM,FFT,0,"[[0], [1]]",0.693,1,0.1564,0.9467,4.9656,0.5321
resnet_features_1d,PHM,FFT,0,"[[0], [2]]",0.6999,1,0.2038,0.9583,5.7923,0.4904
resnet_features_1d,PHM,FFT,0,"[[0], [3]]",0.6888,1,0.2211,0.9551,7.8288,0.4647
resnet_features_1d,PHM,FFT,0,"[[1], [0]]",0.6931,1,1.1631,0.7981,3.0669,0.641
resnet_features_1d,PHM,FFT,0,"[[1], [2]]",0.692,1,0.6801,0.8301,3.3955,0.6795
resnet_features_1d,PHM,FFT,0,"[[1], [3]]",0.693,1,0.8643,0.8397,1.4299,0.6186
resnet_features_1d,PHM,FFT,0,"[[2], [0]]",0.6907,1,1.0207,0.8237,2.7322,0.6923
resnet_features_1d,PHM,FFT,0,"[[2], [1]]",0.6935,1,1.1386,0.8365,2.8706,0.6763
resnet_features_1d,PHM,FFT,0,"[[2], [3]]",0.6954,1,1.1686,0.8013,2.0335,0.7564
resnet_features_1d,PHM,FFT,0,"[[3], [0]]",0.6945,1,1.2394,0.8558,8.1265,0.4327
resnet_features_1d,PHM,FFT,0,"[[3], [1]]",0.6956,0.9992,0.9888,0.8558,4.8847,0.6186
resnet_features_1d,PHM,FFT,0,"[[3], [2]]",0.6927,1,1.0258,0.8526,2.4131,0.7404
resnet_features_1d,PHM,FFT,0,"[[0, 1], [2]]",0.6922,1,0.7492,0.8910 ,3.1353,0.6987
resnet_features_1d,PHM,FFT,0,"[[0, 1], [3]]",0.6913,1,0.6901,0.8798,5.7090 ,0.5641
resnet_features_1d,PHM,FFT,0,"[[0, 2], [1]]",0.6942,1,0.6939,0.8798,3.3916,0.7244
resnet_features_1d,PHM,FFT,0,"[[0, 2], [3]]",0.6922,1,0.5176,0.9103,2.4996,0.7564
resnet_features_1d,PHM,FFT,0,"[[0, 3], [1]]",0.6921,1,0.5455,0.9022,4.1512,0.6699
resnet_features_1d,PHM,FFT,0,"[[0, 3], [2]]",0.6931,1,0.6156,0.8926,1.8528,0.7917
